id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50812662,Adorable 1 bedroom suite in the Scarborough Bluffs,394707424,Kim,,Cliffcrest,43.71785,-79.23474,Entire home/apt,110,30,8,2023-02-28,0.40,1,298,6,
771837697923377936,"Spacious, 2BR 1BA, Instaworthy Views, free parking",204821260,Alexander,,Flemingdon Park,43.71861,-79.32744,Entire home/apt,235,28,1,2023-02-05,0.48,1,179,1,
635435099837623273,"Bedroom + ensuite bathroom, work desk. No Basement",153207,Vikram,,Dorset Park,43.7492,-79.26962,Private room,59,7,6,2023-02-13,0.64,3,345,6,STR-2205-HJGPHJ
39479824,Big Private Rm B large unit near York U subway漢語OK,96693289,Crystal,,Black Creek,43.77428,-79.52247,Private room,45,28,0,,,12,355,0,
43557814,"Nice home in a quiet neighbourhood, close to TTC.",9488125,Lindsay,,Danforth,43.68448,-79.32279,Entire home/apt,200,28,4,2022-10-02,0.32,1,248,3,
618257900172113049,Cozy private room in a house in Toronto D,272046245,Naira,,Wexford/Maryvale,43.74687,-79.30916,Private room,21,30,0,,,18,365,0,
734429454749540029,All new 2-bedroom with parking,468841425,Andrew,,Flemingdon Park,43.71916,-79.33571,Entire home/apt,155,28,0,,,2,365,0,
857399041716155165,32-2 Cozy Studio in Toronto,498799994,Nick,,Wexford/Maryvale,43.74177610346627,-79.29833583306842,Entire home/apt,119,33,0,,,386,343,0,
643585828239987642,1-bedroom apartment near Victoria park station,96104877,Mitsue,,Oakridge,43.6965578,-79.28611839999999,Entire home/apt,54,28,0,,,2,176,0,
53733724,"Child-friendly, 3-bedroom home near Main subway",433331624,Laura,,East End-Danforth,43.68919,-79.30034,Entire home/apt,269,3,16,2022-08-01,1.17,1,35,12,STR-2201-HDWXVJ
605613737549100004,Very Clean Room,297398664,Fidai,,Kennedy Park,43.72119,-79.25843,Private room,45,28,0,,,2,83,0,
30069508,"Scarborough 2-bdrm bsmt apt,walk-in/out,Indpdnt",167304332,Nur,,Malvern,43.81107,-79.21615,Entire home/apt,73,3,99,2023-03-22,1.86,1,71,15,STR-2009-FTLXPC
675983316657341703,Two queen size beds room with inside washroom,50227423,Qinglian,,Agincourt South-Malvern West,43.79439,-79.28596,Private room,84,28,3,2022-10-31,0.38,8,357,3,STR-2204-GQLHHG
669751390441750250,Comfy bunkbed in a cozy room in Toronto near TTC,272046245,Naira,,Oakridge,43.69875,-79.27433,Shared room,14,30,1,2023-02-28,0.75,18,321,1,
24983537,toronto welcomehouse 102 room&private washroom,164815285,James,,L'Amoreaux,43.80003,-79.29945,Private room,70,28,0,,,10,311,0,
40480898,Nice bedroom in 1st floor at nice area,282118315,Hanh,,Black Creek,43.76968,-79.5281,Private room,40,1,9,2021-08-30,0.22,2,220,0,STR-2010-JFKRPM
690045134847346295,🦋Garden View with Pool Access - 10mins Downtown,83980999,Khushnam,,Thorncliffe Park,43.70207,-79.34925,Private room,83,2,10,2023-03-31,1.29,4,329,10,STR-2108-GDCVHF
597870917460298503,(11) 1+den full apartment on Don Mills/Eglinton,37701656,Bushra,,Flemingdon Park,43.72064,-79.33667,Entire home/apt,85,29,3,2023-02-12,0.36,2,177,3,
806646371714504085,Fairview mall room,179046365,Qianq,,Henry Farm,43.7743973,-79.345901,Private room,150,28,0,,,4,365,0,Exempt
857275105809698581,Queensize bedroom in Scarborough,106832835,Yun,,Malvern,43.7915423,-79.2373899,Private room,93,1,0,,,4,362,0,STR-2212-GMDPHT
719610075615122923,Luxurious brand new Condo with lake view,472795234,Anu,,Mimico (includes Humber Bay Shores),43.62495,-79.48788,Entire home/apt,149,28,0,,,1,365,0,
